date,price(USD)
2017-01-01,13.79
2017-01-02,14.07
2017-01-03,16.07
2017-01-04,16.14
2017-01-05,18.55
2017-01-06,16.19
2017-01-07,14.09
2017-01-08,13.01
2017-01-09,13.51
2017-01-10,13.7
2017-01-11,13.38
2017-01-12,11.61
2017-01-13,11.84
2017-01-14,11.28
2017-01-15,11.07
2017-01-16,10.77
2017-01-17,10.69
2017-01-18,12.43
2017-01-19,12.05
2017-01-20,12.17
2017-01-21,11.91
2017-01-22,12.01
2017-01-23,12.19
2017-01-24,12.25
2017-01-25,11.81
2017-01-26,11.85
2017-01-27,11.98
2017-01-28,12.12
2017-01-29,12.85
2017-01-30,12.65
2017-01-31,12.7
2017-02-01,12.97
2017-02-02,13.29
2017-02-03,13.13
2017-02-04,12.89
2017-02-05,12.61
2017-02-06,12.83
2017-02-07,12.91
2017-02-08,12.67
2017-02-09,12.83
2017-02-10,12.18
2017-02-11,11.98
2017-02-12,12.27
2017-02-13,12.31
2017-02-14,12.2
2017-02-15,13.01
2017-02-16,13.62
2017-02-17,13.07
2017-02-18,13.41
2017-02-19,13.38
2017-02-20,13.01
2017-02-21,12.12
2017-02-22,12.32
2017-02-23,12.78
2017-02-24,12.89
2017-02-25,11.92
2017-02-26,11.84
2017-02-27,11.87
2017-02-28,11.99
2017-03-01,12.3
2017-03-02,12.26
2017-03-03,13.1
2017-03-04,13.93
2017-03-05,13.67
2017-03-06,15.23
2017-03-07,15.43
2017-03-08,13.56
2017-03-09,12.46
2017-03-10,13.05
2017-03-11,13.12
2017-03-12,14.72
2017-03-13,16.8
2017-03-14,18.09
2017-03-15,17.79
2017-03-16,19.05
2017-03-17,22.57
2017-03-18,22.27
2017-03-19,20.11
2017-03-20,23.3
2017-03-21,22.62
2017-03-22,21.39
2017-03-23,21.45
2017-03-24,21.85
2017-03-25,21.08
2017-03-26,20.16
2017-03-27,19.75
2017-03-28,19.49
2017-03-29,19.88
2017-03-30,21.06
2017-03-31,20.8
2017-04-01,20.52
2017-04-02,21.42
2017-04-03,20.16
2017-04-04,20.33
2017-04-05,21.31
2017-04-06,19.59
2017-04-07,19.32
2017-04-08,19.31
2017-04-09,20.84
2017-04-10,20.69
2017-04-11,21.8
2017-04-12,21.32
2017-04-13,21.69
2017-04-14,21.47
2017-04-15,20.43
2017-04-16,20.71
2017-04-17,20.46
2017-04-18,20.53
2017-04-19,21.07
2017-04-20,20.4
2017-04-21,19.98
2017-04-22,20.27
2017-04-23,20.12
2017-04-24,19.73
2017-04-25,19.6
2017-04-26,19.67
2017-04-27,19.43
2017-04-28,21.2
2017-04-29,22.37
2017-04-30,22.74
2017-05-01,23.72
2017-05-02,22.77
2017-05-03,23.05
2017-05-04,25.19
2017-05-05,26.11
2017-05-06,28.5
2017-05-07,28.97
2017-05-08,33.45
2017-05-09,30.48
2017-05-10,28.49
2017-05-11,29.94
2017-05-12,29.61
2017-05-13,28.59
2017-05-14,28.51
2017-05-15,28.51
2017-05-16,27.73
2017-05-17,26.37
2017-05-18,26.98
2017-05-19,30.31
2017-05-20,31.82
2017-05-21,35.04
2017-05-22,34.8
2017-05-23,36.31
2017-05-24,56.31
2017-05-25,45.52
2017-05-26,39.81
2017-05-27,38.71
2017-05-28,33.43
2017-05-29,36.76
2017-05-30,41.29
2017-05-31,39.83
2017-06-01,41.84
2017-06-02,43.74
2017-06-03,43.99
2017-06-04,42.34
2017-06-05,42.88
2017-06-06,48.37
2017-06-07,55.29
2017-06-08,52.91
2017-06-09,56.13
2017-06-10,55.59
2017-06-11,52.37
2017-06-12,59.09
2017-06-13,49.8
2017-06-14,51.98
2017-06-15,46.24
2017-06-16,45.97
2017-06-17,48.19
2017-06-18,50.49
2017-06-19,49.62
2017-06-20,49.03
2017-06-21,48.17
2017-06-22,46.8
2017-06-23,47.45
2017-06-24,51.43
2017-06-25,47.84
2017-06-26,45.9
2017-06-27,43.49
2017-06-28,43.8
2017-06-29,47.04
2017-06-30,45.09
2017-07-01,43.71
2017-07-02,40.94
2017-07-03,42.51
2017-07-04,43.55
2017-07-05,45.3
2017-07-06,45.96
2017-07-07,50.11
2017-07-08,44.17
2017-07-09,46.69
2017-07-10,44.91
2017-07-11,40.25
2017-07-12,36.89
2017-07-13,40.43
2017-07-14,38.08
2017-07-15,35.57
2017-07-16,31.97
2017-07-17,29.47
2017-07-18,34.89
2017-07-19,36.47
2017-07-20,34.89
2017-07-21,40.55
2017-07-22,40.25
2017-07-23,44.64
2017-07-24,42.66
2017-07-25,45.55
2017-07-26,40.73
2017-07-27,45.92
2017-07-28,45.29
2017-07-29,43.69
2017-07-30,43.95
2017-07-31,39.67
2017-08-01,39.88
2017-08-02,44.08
2017-08-03,43.8
2017-08-04,43.36
2017-08-05,45.18
2017-08-06,48.57
2017-08-07,47.67
2017-08-08,50.4
2017-08-09,51.94
2017-08-10,50.94
2017-08-11,49.31
2017-08-12,50.85
2017-08-13,49.38
2017-08-14,47.69
2017-08-15,49.97
2017-08-16,48.77
2017-08-17,48.82
2017-08-18,47.37
2017-08-19,46.97
2017-08-20,55.79
2017-08-21,54.67
2017-08-22,77.99
2017-08-23,91.01
2017-08-24,90.35
2017-08-25,86.47
2017-08-26,107.46
2017-08-27,137.59
2017-08-28,130.76
2017-08-29,144.24
2017-08-30,133.84
2017-08-31,131.95
2017-09-01,140.65
2017-09-02,141.35
2017-09-03,124.93
2017-09-04,126.23
2017-09-05,106.75
2017-09-06,118.78
2017-09-07,121.39
2017-09-08,120.28
2017-09-09,118.19
2017-09-10,115.64
2017-09-11,113.05
2017-09-12,112.72
2017-09-13,111.81
2017-09-14,111.29
2017-09-15,83.13
2017-09-16,100.11
2017-09-17,94.97
2017-09-18,93.81
2017-09-19,100.83
2017-09-20,97.64
2017-09-21,95.33
2017-09-22,86.17
2017-09-23,88.03
2017-09-24,91.76
2017-09-25,89.37
2017-09-26,93.81
2017-09-27,92.75
2017-09-28,100.97
2017-09-29,97.3
2017-09-30,94.44
2017-10-01,95.59
2017-10-02,93.56
2017-10-03,91.52
2017-10-04,92.95
2017-10-05,90.49
2017-10-06,91.91
2017-10-07,90.94
2017-10-08,91.39
2017-10-09,89.74
2017-10-10,85.61
2017-10-11,86.74
2017-10-12,87.56
2017-10-13,87.23
2017-10-14,95.06
2017-10-15,99.94
2017-10-16,94.99
2017-10-17,95.93
2017-10-18,91.19
2017-10-19,89.66
2017-10-20,88.71
2017-10-21,90.41
2017-10-22,88.18
2017-10-23,86.48
2017-10-24,85.16
2017-10-25,88.49
2017-10-26,88.17
2017-10-27,88.58
2017-10-28,86.91
2017-10-29,86.27
2017-10-30,88.59
2017-10-31,88.75
2017-11-01,87.65
2017-11-02,85.66
2017-11-03,83.53
2017-11-04,87.9
2017-11-05,87.31
2017-11-06,86.42
2017-11-07,104.23
2017-11-08,99.82
2017-11-09,112.53
2017-11-10,121.34
2017-11-11,105.75
2017-11-12,119.6
2017-11-13,128.96
2017-11-14,123.62
2017-11-15,122.24
2017-11-16,121.24
2017-11-17,120.02
2017-11-18,126.59
2017-11-19,130.72
2017-11-20,129.5
2017-11-21,136.1
2017-11-22,142.08
2017-11-23,166.11
2017-11-24,158.62
2017-11-25,160
2017-11-26,168.57
2017-11-27,162.92
2017-11-28,175.35
2017-11-29,203.91
2017-11-30,170.49
2017-12-01,179.72
2017-12-02,190.83
2017-12-03,203.37
2017-12-04,199.56
2017-12-05,211.13
2017-12-06,268.16
2017-12-07,277.87
2017-12-08,281.31
2017-12-09,277.27
2017-12-10,262.9
2017-12-11,244.95
2017-12-12,281.49
2017-12-13,307.43
2017-12-14,303.26
2017-12-15,325.61
2017-12-16,312.61
2017-12-17,328.06
2017-12-18,353.07
2017-12-19,381.07
2017-12-20,375.71
2017-12-21,470.29
2017-12-22,419.53
2017-12-23,349.76
2017-12-24,391.01
2017-12-25,339.69
2017-12-26,361.08
2017-12-27,381.3
2017-12-28,422.51
2017-12-29,381.3
2017-12-30,378.52
2017-12-31,329
