date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees
2017-01-01,786789677.745,189139,15491200000,963.66,147775000,2000,64.97262127
2017-01-02,1151106038.16,259626,16055100000,998.62,222185000,1725,104.01553074
2017-01-03,1522249560.23,299747,16426600000,1021.6,185168000,2175,110.4774617
2017-01-04,1769692902.55,314971,16795400000,1044.4,344946000,1850,144.63144721
2017-01-05,2512709770.6,301862,18604000000,1156.73,510199000,1850,167.55773157
2017-01-06,1964103877.83,348783,16314100000,1014.24,351876000,2025,131.66052202
2017-01-07,1276939927.57,281148,14534400000,903.49,279550000,1700,106.58271807
2017-01-08,803152804.687,267851,14611400000,908.17,158715000,1962.5,93.94094356
2017-01-09,1286586521.93,265257,14694900000,913.24,141877000,1862.5,97.12533162
2017-01-10,1306985561.71,319011,14522600000,902.44,115808000,1937.5,120.54454911
2017-01-11,2892571577.14,290097,14615700000,908.12,310929000,1862.5,106.69310267
2017-01-12,1748758163.85,304350,12477600000,775.18,222326000,2175,110.49579794
2017-01-13,1466113966.97,284591,12939100000,803.74,168968000,1987.5,101.395727
2017-01-14,728311439.551,243658,13285200000,825.14,93063300,2062.5,84.43101692
2017-01-15,782218059.5,238261,13174300000,818.14,71013600,2112.5,85.17234104
2017-01-16,1001077532.21,244356,13234600000,821.78,82755200,2037.5,93.35476725
2017-01-17,1201511514.81,294931,13383900000,830.95,155095000,1937.5,112.05089724
2017-01-18,1249764219.51,310376,14648900000,909.37,225677000,2062.5,113.38505774
2017-01-19,1026671039.2,303350,14311700000,888.34,105625000,2162.5,112.42429765
2017-01-20,1040615783.03,293251,14472100000,898.17,86728400,2175,105.2106648
2017-01-21,843214752.252,270811,14432000000,895.55,111158000,2300,95.32603131
2017-01-22,733797452.58,239026,14863600000,922.21,116573000,2200,88.90143618
2017-01-23,995934696.253,258127,14918800000,925.5,73588600,1837.5,99.84993774
2017-01-24,1104657224.08,231077,14681400000,910.68,111349000,1787.5,142.82705428
2017-01-25,1202517750.67,314498,14380700000,891.92,120831000,1887.5,136.46515019
2017-01-26,961087602.722,314974,14551200000,902.39,131958000,1887.5,123.57158626
2017-01-27,873555474.528,284503,14810400000,918.36,125594000,2250,117.42296508
2017-01-28,665230442.178,237259,14835800000,919.81,68979600,1800,115.3535591
2017-01-29,667632298.232,235738,14874000000,922.07,60851700,2037.5,123.94310224
2017-01-30,852723955.782,257336,14844900000,920.15,78227300,1850,126.41899373
2017-01-31,1040672350.97,284178,14859700000,920.96,164582000,1787.5,146.725731
2017-02-01,1316263114.68,339122,15667900000,970.94,150110000,2337.5,155.18159634
2017-02-02,1240308967.93,300969,15977800000,990,145821000,2162.5,147.6201007
2017-02-03,1954545157.18,280253,16326100000,1011.46,201278000,1725,157.88566101
2017-02-04,1193628988.7,308055,16648800000,1031.33,155064000,1837.5,139.8792543
2017-02-05,1029881746.09,283513,16847400000,1043.52,114208000,1950,133.13735006
2017-02-06,1212430955.85,259363,16605400000,1028.4,111762000,1762.5,163.86846257
2017-02-07,1405969976.74,291572,16796600000,1040.14,146007000,1725,165.04526662
2017-02-08,1362829812.46,323851,17156700000,1062.32,201855000,1900,159.93208369
2017-02-09,1461656335.61,333043,17197100000,1064.7,407220000,2000,164.43140642
2017-02-10,1223661636.46,314344,16083600000,995.63,190452000,1912.5,152.93905606
2017-02-11,792590202.083,265479,15976700000,988.9,102261000,1725,117.87677124
2017-02-12,587618633.182,231014,16214700000,1003.52,67530000,1687.5,101.77130434
2017-02-13,960444337.284,276333,16141500000,998.88,100607000,2025,126.63733976
2017-02-14,1183066957.08,317879,16028000000,991.74,137946000,2162.5,146.81045622
2017-02-15,1078388379.74,307937,16264100000,1006.21,89759400,1812.5,138.83023196
2017-02-16,952582505.804,265912,16289100000,1007.65,122277000,1787.5,155.35073623
2017-02-17,1360297426.96,335276,16589600000,1026.12,136474000,1975,175.46504815
2017-02-18,939006953.149,304046,16964800000,1049.21,99073500,1950,156.05541868
2017-02-19,1103156773.71,234390,17056600000,1054.76,77423300,1612.5,126.59063292
2017-02-20,1057147432.13,275162,16960200000,1048.69,109478000,1812.5,157.03512432
2017-02-21,1160387001.48,292564,17456900000,1079.28,186869000,1787.5,168.18205825
2017-02-22,1260830002.46,278219,18033400000,1114.8,136100000,1712.5,176.30834694
2017-02-23,1502640205.09,299708,18075200000,1117.27,189454000,1737.5,202.40046623
2017-02-24,1540318207.51,351311,18974400000,1172.71,330759000,2037.5,225.95913545
2017-02-25,1113846160.5,322509,18939500000,1170.41,139961000,2000,198.6407775
2017-02-26,837476091.85,290794,18518900000,1144.27,116486000,2400,170.16022586
2017-02-27,1201145224.97,262940,18837300000,1163.78,131570000,1762.5,177.73052785
2017-02-28,1444076514.59,327345,19113600000,1180.72,184956000,1912.5,231.45692146
2017-03-01,1469761810.4,320989,19104800000,1180.04,229057000,1837.5,227.2493148
2017-03-02,1967834616.14,313730,19829800000,1224.68,368275000,1887.5,239.8395341
2017-03-03,2105869658.08,341952,20253700000,1250.71,315739000,1875,265.15271202
2017-03-04,1469242347.74,277391,20688800000,1277.43,183270000,1775,227.31231879
2017-03-05,1240344355.65,295917,20316000000,1254.29,134127000,1837.5,224.89339894
2017-03-06,1617738914.52,271083,20531900000,1267.47,153657000,1737.5,228.81671986
2017-03-07,1825784905.01,323648,20627100000,1273.21,291256000,1900,268.53552474
2017-03-08,1749538121.56,320466,19819800000,1223.23,332603000,1900,245.62395053
2017-03-09,1340837104.2,294583,18640900000,1150.35,212283000,1787.5,230.9372134
2017-03-10,1613489389.71,304706,19275300000,1189.36,563796000,1937.5,253.38265494
2017-03-11,1459874704.05,282486,18093700000,1116.32,283320000,1787.5,223.40830928
2017-03-12,1012234656.64,219283,19073300000,1176.62,227176000,2000,189.44466059
2017-03-13,1688892509.3,263545,19807700000,1221.78,380277000,1762.5,211.56419165
2017-03-14,2194740006.61,332859,19978200000,1232.16,245306000,2025,270.2659726
2017-03-15,1818003548.62,290428,20110400000,1240.16,297805000,1800,234.82121533
2017-03-16,2764060617.72,303013,20293700000,1251.33,638568000,1787.5,250.86517525
2017-03-17,2488382703.27,300424,19141800000,1180.16,706599000,1975,247.79645862
2017-03-18,1769053430.48,278779,17838700000,1099.69,621302000,2025,223.94924795
2017-03-19,1305168302.25,260974,15846000000,976.73,406648000,1962.5,214.77797246
2017-03-20,1451434330.62,260448,16829800000,1037.24,286530000,1712.5,226.40284324
2017-03-21,1802314479.11,297088,17125600000,1055.36,337391000,1812.5,252.8185197
2017-03-22,2138467540.26,317589,18187100000,1120.65,380841000,1962.5,267.69751807
2017-03-23,1777651873.47,276232,17043400000,1050.05,248540000,1737.5,228.76344812
2017-03-24,1733417384.43,305133,16857000000,1038.45,491038000,2237.5,245.06808814
2017-03-25,4044006010.42,253296,15204800000,936.54,435803000,1800,192.63251292
2017-03-26,1116135580.1,221510,15814800000,974.01,303668000,1925,153.03647095
2017-03-27,1426689038.59,210842,15785000000,972.05,372535000,1712.5,172.85031121
2017-03-28,1782501122.64,311612,16964500000,1044.58,326332000,2025,248.11207069
2017-03-29,1437433097.55,272352,16990900000,1046.08,298458000,1687.5,209.30019913
2017-03-30,1515705323.5,294132,16929800000,1042.21,352969000,2050,210.6123248
2017-03-31,1928720085.23,261567,16679000000,1026.64,447287000,1700,208.22901924
2017-04-01,1414107439.25,272344,17413000000,1071.71,289634000,1750,205.46246558
2017-04-02,1160384286.17,226678,17559400000,1080.61,514187000,1875,172.94420548
2017-04-03,1727495387.92,281436,17924600000,1102.95,580444000,2150,214.69998817
2017-04-04,1742279578.87,249981,18619000000,1145.52,436310000,1575,197.05996416
2017-04-05,1704396748.28,314865,18435700000,1134.14,414784000,1975,235.98100887
2017-04-06,1643551068.72,300356,18302600000,1125.81,511222000,1925,230.21934127
2017-04-07,1612333912.3,291966,19168500000,1178.94,317022000,1862.5,217.6480458
2017-04-08,1092798764.43,246642,19068600000,1172.65,209312000,1912.5,189.30968727
